track_id;audio_md5;end_of_fade_in;start_of_fade_out;analysis_sample_rate;duration;loudness;tempo;key;key_confidence;mode;mode_confidence;time_signature;time_signature_confidence;danceability;energy;artist_id;artist_name;artist_location;artist_familiarity;artist_hotttnesss;genre;release;song_id;title;song_hotttnesss;year
TRAAAAW128F429D538;a222795e07cd65b7a530f1346f520649;0.247;218.932;22050;218.93179;-11.197;92.198;1;0.736;0;0.636;4;0.778;0;0;ARD7TVE1187B99BFB1;Casual;California - LA;0.581793765845028;0.401997543364284;;Fear Itself;SOMZWCG12A8C13C480;I Didn't Mean To;0.602119989905755;0
TRAAABD128F429CF47;bb9771eeef3d5b204a3c55e690f52a91;0.148;137.915;22050;148.03546;-9.843;121.274;6;0.169;0;0.43;4;0.384;0;0;ARMJAGH1187FB546F3;The Box Tops;Memphis, TN;0.630630037589808;0.417499644970978;;Dimensions;SOCIWDW12A8C13D406;Soul Deep;NA;1969
TRAAADZ128F9348C2E;fa329738005ca53715d9f7381a0d1fe3;0.282;172.304;22050;177.47546;-9.689;100.07;8;0.643;1;0.565;1;0;0;0;ARKRRTF1187B9984DA;Sonora Santanera;;0.487356790928148;0.343428378296882;;Las Numero 1 De La Sonora Santanera;SOXVLOJ12AB0189215;Amor De Cabaret;NA;0
TRAAAEF128F4273421;43cd1abd45d5a2dda16a3c65b4963bd4;0;217.124;22050;233.40363;-9.013;119.293;0;0.751;1;0.749;4;0;0;0;AR7G5I41187FB4CE6C;Adam Ant;London, England;0.630382334146781;0.454231156570621;;Friend Or Foe;SONHOTT12A8C13493C;Something Girls;NA;1982
TRAAAFD128F92F423A;580a8fe08ef0f1c7734b84547d7a8bc7;0.066;198.699;22050;209.60608;-4.501;129.738;2;0.092;1;0.371;4;0.562;0;0;ARXR32B1187FB57099;Gob;;0.651045660831795;0.401723685503679;;Muertos Vivos;SOFSOCN12A8C143F5D;Face the Ashes;0.60450073858882;2007
TRAAAMO128F1481E7F;8ee90e90bb8714300574486f379effb5;2.264;254.27;22050;267.7024;-9.323;147.782;5;0.635;1;0.557;3;0.454;0;0;ARKFYS91187B98E58F;Jeff And Sheri Easter;;0.53529273551182;0.385470550555821;;Ordinary Day;SOYMRWW12A6D4FAB14;The Moon And I (Ordinary Day Album Version);NA;0
TRAAAMQ128F1460CD3;0e574964bf7a546a39e039f6e35aa48a;0.096;114.782;22050;114.78159;-17.302;111.787;1;0;1;0;1;0;0;0;ARD0S291187B9B7BF5;Rated R;Ohio;0.556495601912957;0.261941177380847;;Da Ghetto Psychic;SOMJBYD12A6D4F8557;Keepin It Real (Skit);NA;0
TRAAAPK128E0786D96;1741d2c1bd271f10e783634f286746e2;0.319;181.023;22050;189.57016;-11.642;101.43;4;0;0;0.16;3;0.408;0;0;AR10USD1187B99F3F1;Tweeterfriendly Music;Burlington, Ontario, Canada;0.801136446996687;0.605507135690575;;Gin & Phonic;SOHKNRJ12A6701D1F8;Drop of Rain;NA;0
TRAAARJ128F9320760;eda960ea61211d980653d589e8e74c1d;5.3;258.99;22050;269.81832;-13.496;86.643;4;0.717;1;0.652;4;0.487;0;0;AR8ZCNI1187B9A069B;Planet P Project;;0.426667857069405;0.332275746599068;;Pink World;SOIAZJW12AB01853F1;Pink World;0.26586104921065;1984
TRAAAVG12903CFA543;c76afe800148e674a30629a4686d7f9f;0.084;261.747;22050;266.39628;-6.697;114.041;7;0.053;0;0.473;4;0.878;0;0;ARNTLGG11E2835DDB9;Clp;;0.550513697848214;0.422705641029391;;Superinstrumental;SOUDSGM12AC9618304;Insatiable (Instrumental Version);NA;0
